technical_know_how,personal_traits,social_characteristics,motivating_factors
Well-organized,"Psychologically
Deviant",Unlawful,"Greed (easy, quick money)"
Bully,Immoral/ Unethical,"Insufficient social
support","Religious
fundamentalism"
Resourceful,Conviction in Violence,Anti-social,Need to Control others
Goal oriented,"Psychologically
Deviant",Inferiority complex,"Religious
fundamentalism"
Sharp (intelligent),Aggressive,Low self-worth,Political beliefs
Well-trained,Selfish,Marginalised,"Enhancing self-
worth"
Well-trained,Vengeful,Socially inept,Political beliefs
Focussed,Secretive,Misguided,Political support
Well trained,Secretive,Social dissatisfaction,Experimentation
Focussed,Incited,Lack Social skills,Curiosity
Well-networked,Gullible,"Insufficient social
support","Concealed
existence"
Sharp (intelligent),Selfish,Anti-state,Experimentation
Resourceful,Incited,Unlawful,Emotions
Goal oriented,Selfish,Anti-state,No fear of punishment
Well-organized,Coward,Broken homes/families,Revenge
Sharp (intelligent),Strong-willed,Mass-destruction,Thrill-seeking
Well-networked,Insensitive,Low self-worth,Need to Control others
Opportunists,Secretive,Broken homes/families,Plain boredom
Creative,Incited,Lack Social skills,Risk tolerance
Resourceful,Vengeful,Broken homes/families,"Religious
fundamentalism"
Smart,Determined,Mass-destruction,Plain boredom
Opportunists,Strong-willed,Low self-worth,Manipulate others
Goal oriented,Conviction in Violence,Intolerance to diversity of opinion,Anger
Well-organized,Chaotic state of mind,Unlawful,Need to Control others
Well-organized,Secretive,Socially inept,Lust
Well-networked,Vengeful,Rationalization,Intolerance
Resourceful,Chaotic state of mind,Mass-destruction,"Enhancing self-
worth"
Sharp (intelligent),Inhuman Psyche,Inferiority complex,Emotions
Skilful,Identity crisis,Rebellious,Risk tolerance
Skilful,Psychiatric conditions,Anti-establishment,Anger
Skilful,Vengeful,Rationalization,Manipulate others
Well-organized,Emotional,Reinforcement available,"Concealed
existence"
Well-networked,Vengeful,Misguided,Disregard for law
Strategic planners,Emotional,Radical,Plain boredom
Creative,"Psychologically
Deviant",Rebellious,Intolerance
Well-trained,Determined,Rationalization,Risk tolerance
Well-organized,Risk-taker,Anti-establishment,Political support
Goal oriented,Chaotic state of mind,Intolerance to diversity of opinion,Anger
Creative,Risk-taker,Marginalised,Manipulate others
Sharp (intelligent),Determined,Mass-destruction,Risk tolerance
Focussed,Secretive,Marginalised,Plain boredom
Skilful,Impatient,Radical,Risk tolerance
Creative,Incited,Brain-washed,Intolerance
Resourceful,Aggressive,Lack Social skills,"Concealed
existence"
Skilful,Gullible,Anti-social,Disregard for law
Skilful,Vengeful,Rebellious,Intolerance
Goal oriented,Vengeful,Radical,Anger
Smart,Determined,Brain-washed,Monetary Gain
Well trained,Secretive,Rebellious,"Concealed
existence"
Resourceful,Aggressive,Socially inept,Political support
Well-networked,Inhuman Psyche,Reinforcement available,"Greed (easy, quick money)"
Smart,Selfish,Lack Social skills,Intolerance
Resourceful,Aggressive,Intolerance to diversity of opinion,"Concealed
existence"
Sharp (intelligent),Coward,"Insufficient social
support",Risk tolerance
Bully,Immoral/ Unethical,Broken homes/families,"Greed (easy, quick money)"
Focussed,Insensitive,Intolerance to diversity of opinion,"Greed (easy, quick money)"
Smart,Determined,Anti-establishment,"Religious
fundamentalism"
Bully,Impatient,Brain-washed,"Greed (easy, quick money)"
Strategic planners,Insensitive,Anti-social,Political support
Bully,Control freak,Misguided,Experimentation
Creative,Gullible,Anti-establishment,Emotions
Smart,Impatient,Social dissatisfaction,"Concealed
existence"
Smart,Insensitive,Intolerance to diversity of opinion,Risk tolerance
Well trained,Selfish,Radical,Thrill-seeking
Bully,Vengeful,Social dissatisfaction,Political beliefs
Well-organized,Incited,Social dissatisfaction,Revenge
Focussed,Selfish,Marginalised,Curiosity
Skilful,"Psychologically
Deviant",Brain-washed,"Religious
fundamentalism"
Focussed,Identity crisis,Anti-social,Need to Control others
Bully,Gullible,Broken homes/families,Curiosity
Resourceful,Emotional,Broken homes/families,Emotions
Smart,Conviction in Violence,Anti-social,Political support
Strategic planners,Control freak,Unlawful,Anger
Smart,Psychiatric conditions,Social dissatisfaction,Political support
Well trained,Aggressive,Anti-state,Revenge
Bully,Determined,Broken homes/families,Intolerance
Resourceful,Chaotic state of mind,Mass-destruction,Political support
Goal oriented,Aggressive,"Insufficient social
support",Intolerance
Well-trained,Impatient,Need to outsmart others,Plain boredom
Strategic planners,"Psychologically
Deviant",Marginalised,"Concealed
existence"
Creative,Strong-willed,Broken homes/families,"Concealed
existence"
Well-trained,Vengeful,Need to outsmart others,Lust
Well-organized,Immoral/ Unethical,Need to outsmart others,Political support
Opportunists,Determined,Anti-social,Need to Control others
Skilful,Control freak,Brain-washed,"Enhancing self-
worth"
Strategic planners,Determined,Anti-social,Emotions
Creative,Coward,Rebellious,"Religious
fundamentalism"
Well trained,"Psychologically
Deviant",Anti-establishment,Political support
Well trained,Loner,Socially inept,Need to Control others
Bully,Psychiatric conditions,"Insufficient social
support",Lust
Well-trained,Passionate,Unlawful,"Greed (easy, quick money)"
Skilful,Passionate,Brain-washed,"Greed (easy, quick money)"
Well-organized,Identity crisis,Anti-establishment,Curiosity
Focussed,Conviction in Violence,Low self-worth,Political beliefs
Well trained,Chaotic state of mind,Anti-social,Manipulate others
Smart,Immoral/ Unethical,Inferiority complex,Emotions
Creative,Control freak,Low self-worth,"Religious
fundamentalism"
Well-organized,Chaotic state of mind,Need to outsmart others,Curiosity
Resourceful,Incited,Anti-state,"Religious
fundamentalism"
Well-organized,Inhuman Psyche,Mass-destruction,Revenge
Focussed,Determined,Mass-destruction,Emotions
Focussed,Secretive,Social dissatisfaction,Thrill-seeking
Bully,Determined,Radical,Curiosity
Skilful,Insensitive,Broken homes/families,Anger
Sharp (intelligent),Insensitive,Anti-establishment,Manipulate others
Well-trained,Vengeful,Intolerance to diversity of opinion,Revenge
Bully,Coward,Socially inept,"Enhancing self-
worth"
Resourceful,Secretive,Reinforcement available,Curiosity
Bully,Psychiatric conditions,Brain-washed,Experimentation
Well-trained,Chaotic state of mind,Unlawful,Experimentation
Goal oriented,Psychiatric conditions,"Insufficient social
support",Political support
Well-networked,Aggressive,Socially inept,Disregard for law
Smart,Secretive,Mass-destruction,"Greed (easy, quick money)"
Focussed,Gullible,"Insufficient social
support",Manipulate others
Well-trained,Psychiatric conditions,Rationalization,Manipulate others
Well trained,Identity crisis,Anti-social,"Enhancing self-
worth"
Strategic planners,Secretive,Radical,Risk tolerance
Well trained,Risk-taker,"Insufficient social
support",Lust
Bully,Immoral/ Unethical,Reinforcement available,No fear of punishment
Well-organized,Passionate,Inferiority complex,Intolerance
Skilful,Immoral/ Unethical,Lack Social skills,Manipulate others
Well-trained,Impatient,Radical,Revenge
Focussed,Insensitive,Intolerance to diversity of opinion,"Religious
fundamentalism"
Goal oriented,Chaotic state of mind,Lack Social skills,Political support
Well-organized,Vengeful,Anti-state,Political support
Sharp (intelligent),Immoral/ Unethical,Rebellious,"Religious
fundamentalism"
Bully,Determined,Rebellious,"Concealed
existence"
Bully,Control freak,Inferiority complex,Emotions
Strategic planners,Control freak,Radical,Revenge
Skilful,Conviction in Violence,"Insufficient social
support","Concealed
existence"
Goal oriented,Insensitive,Anti-establishment,Curiosity
Well-organized,Risk-taker,Reinforcement available,Curiosity
Well-trained,Loner,Radical,Revenge
Opportunists,Secretive,Socially inept,Revenge
Bully,Vengeful,Need to outsmart others,Revenge
Bully,Emotional,Broken homes/families,Thrill-seeking
Well-networked,Psychiatric conditions,Low self-worth,Emotions
Strategic planners,Coward,Social dissatisfaction,Disregard for law
Well-networked,Impatient,Mass-destruction,Need to Control others
Focussed,Immoral/ Unethical,Anti-state,Plain boredom
Well-networked,Risk-taker,Need to outsmart others,Revenge
Strategic planners,Chaotic state of mind,Broken homes/families,Risk tolerance
Resourceful,Emotional,Rebellious,Lust
Well-trained,Control freak,"Insufficient social
support","Greed (easy, quick money)"
Opportunists,Strong-willed,Anti-establishment,Monetary Gain
Sharp (intelligent),Emotional,Rebellious,Revenge
Sharp (intelligent),Selfish,Marginalised,Lust
Focussed,Aggressive,Rebellious,Risk tolerance
Creative,Secretive,Brain-washed,"Greed (easy, quick money)"
Smart,Psychiatric conditions,Reinforcement available,Lust
Creative,"Psychologically
Deviant",Unlawful,"Concealed
existence"
Skilful,"Psychologically
Deviant",Anti-social,Political support
Well-networked,Insensitive,Anti-state,Anger
Skilful,Psychiatric conditions,Rationalization,Curiosity
Opportunists,Secretive,Brain-washed,Need to Control others
Strategic planners,Secretive,Anti-establishment,Anger
Opportunists,Gullible,Anti-state,Lust
Bully,Coercive,Socially inept,Need to Control others
Well-trained,Risk-taker,Misguided,Risk tolerance
Strategic planners,Chaotic state of mind,Anti-state,Emotions
Goal oriented,Gullible,Mass-destruction,"Greed (easy, quick money)"
Focussed,Gullible,Lack Social skills,Need to Control others
Skilful,Insensitive,Mass-destruction,Risk tolerance
Sharp (intelligent),Inhuman Psyche,Anti-social,Emotions
Well-organized,Emotional,Intolerance to diversity of opinion,Thrill-seeking
Well-organized,Insensitive,Rationalization,Lust
Focussed,Gullible,Rebellious,"Enhancing self-
worth"
Resourceful,Impatient,Rebellious,Revenge
Sharp (intelligent),Passionate,Brain-washed,Manipulate others
Creative,Gullible,Anti-establishment,"Religious
fundamentalism"
Bully,"Psychologically
Deviant",Radical,Disregard for law
Skilful,Impatient,Brain-washed,Plain boredom
Opportunists,Passionate,"Insufficient social
support",Risk tolerance
Resourceful,Determined,Misguided,Political support
Focussed,Immoral/ Unethical,Low self-worth,Risk tolerance
Focussed,Incited,Anti-establishment,Political support
Strategic planners,Impatient,Anti-state,Thrill-seeking
Opportunists,Conviction in Violence,Social dissatisfaction,Political support
Well-organized,Conviction in Violence,Intolerance to diversity of opinion,Need to Control others
Bully,Vengeful,Anti-state,"Enhancing self-
worth"
Creative,Passionate,"Insufficient social
support",Anger
Focussed,Insensitive,"Insufficient social
support",Emotions
Well-organized,Coward,Brain-washed,Manipulate others
Well-organized,Control freak,Brain-washed,Revenge
Focussed,Impatient,"Insufficient social
support",Thrill-seeking
Sharp (intelligent),Immoral/ Unethical,"Insufficient social
support","Concealed
existence"
Goal oriented,Identity crisis,Broken homes/families,Lust
Focussed,Incited,Social dissatisfaction,Revenge
Resourceful,Emotional,Misguided,Anger
Focussed,Inhuman Psyche,Anti-state,Emotions
Well-organized,Chaotic state of mind,Anti-state,Risk tolerance
Opportunists,Identity crisis,Broken homes/families,Manipulate others
Focussed,Chaotic state of mind,Anti-state,Intolerance
Opportunists,Secretive,Broken homes/families,Need to Control others
Well-networked,Insensitive,Rebellious,Plain boredom
Well-trained,Risk-taker,Radical,Need to Control others
Bully,Emotional,Lack Social skills,Intolerance
Well trained,Emotional,Intolerance to diversity of opinion,Lust
Sharp (intelligent),Gullible,Anti-state,No fear of punishment
Sharp (intelligent),Risk-taker,Need to outsmart others,Need to Control others
Well-trained,Chaotic state of mind,Broken homes/families,"Religious
fundamentalism"
Skilful,Coercive,Rebellious,Plain boredom
Strategic planners,Identity crisis,Low self-worth,No fear of punishment
Opportunists,Aggressive,Social dissatisfaction,Thrill-seeking
Resourceful,Inhuman Psyche,Mass-destruction,"Greed (easy, quick money)"
Smart,Loner,Need to outsmart others,Intolerance
Sharp (intelligent),Inhuman Psyche,Marginalised,"Religious
fundamentalism"
Well trained,Inhuman Psyche,Reinforcement available,Political beliefs
Well-networked,Immoral/ Unethical,Misguided,Curiosity
Creative,Identity crisis,Rebellious,Experimentation
Resourceful,Inhuman Psyche,Lack Social skills,Intolerance
Strategic planners,Control freak,Mass-destruction,Anger
Focussed,Inhuman Psyche,Lack Social skills,Intolerance
Goal oriented,Strong-willed,Socially inept,Political beliefs
Skilful,Strong-willed,Rebellious,Intolerance
Sharp (intelligent),Chaotic state of mind,Marginalised,Plain boredom
Sharp (intelligent),Impatient,"Insufficient social
support","Greed (easy, quick money)"
Sharp (intelligent),Coercive,Reinforcement available,"Enhancing self-
worth"
Well-organized,Conviction in Violence,Radical,Revenge
Bully,Vengeful,Anti-state,"Religious
fundamentalism"
Goal oriented,Insensitive,Socially inept,Disregard for law
Well-organized,Secretive,Unlawful,Emotions
Well-networked,Vengeful,Marginalised,Monetary Gain
Well-organized,Aggressive,Low self-worth,"Religious
fundamentalism"
Goal oriented,"Psychologically
Deviant",Inferiority complex,Anger
Sharp (intelligent),"Psychologically
Deviant",Broken homes/families,Emotions
Strategic planners,Coward,Anti-state,Emotions
Creative,Insensitive,Low self-worth,Political support
Opportunists,Impatient,"Insufficient social
support",Plain boredom
Well-trained,Aggressive,Mass-destruction,"Enhancing self-
worth"
Well-networked,Strong-willed,Brain-washed,"Greed (easy, quick money)"
Smart,"Psychologically
Deviant",Need to outsmart others,Political beliefs
Well-networked,Insensitive,Marginalised,Monetary Gain
Sharp (intelligent),Inhuman Psyche,Social dissatisfaction,"Religious
fundamentalism"
Well trained,Incited,Misguided,Lust
Skilful,Secretive,Rebellious,Intolerance
Sharp (intelligent),Coward,Radical,Manipulate others
Sharp (intelligent),Coward,Broken homes/families,Thrill-seeking
Goal oriented,Immoral/ Unethical,Intolerance to diversity of opinion,"Enhancing self-
worth"
Focussed,Determined,Brain-washed,Emotions
Well-trained,Emotional,Brain-washed,Political beliefs
Sharp (intelligent),Determined,Intolerance to diversity of opinion,Experimentation
Resourceful,Chaotic state of mind,Anti-social,Thrill-seeking
Opportunists,Impatient,Anti-establishment,"Enhancing self-
worth"
Skilful,Aggressive,Broken homes/families,Revenge
Sharp (intelligent),"Psychologically
Deviant",Anti-establishment,Revenge
Resourceful,Selfish,Marginalised,"Enhancing self-
worth"
Well trained,Passionate,Anti-social,Disregard for law
Skilful,Control freak,Anti-social,Plain boredom
Well-trained,"Psychologically
Deviant",Reinforcement available,Anger
Smart,Insensitive,Unlawful,"Religious
fundamentalism"
Resourceful,Strong-willed,Marginalised,"Enhancing self-
worth"
Strategic planners,Inhuman Psyche,Unlawful,No fear of punishment
Well-organized,Gullible,Intolerance to diversity of opinion,Thrill-seeking
Smart,Insensitive,Brain-washed,Lust
Skilful,Coercive,Socially inept,Disregard for law
Skilful,Insensitive,Rationalization,Political support
Skilful,Immoral/ Unethical,Social dissatisfaction,Experimentation
Resourceful,Selfish,Reinforcement available,Manipulate others
Well-organized,Impatient,Rationalization,"Greed (easy, quick money)"
Well-organized,Identity crisis,Rationalization,Lust
Opportunists,Gullible,Broken homes/families,Curiosity
Focussed,Loner,Need to outsmart others,Plain boredom
Focussed,Loner,Anti-establishment,"Greed (easy, quick money)"
Opportunists,Impatient,Mass-destruction,Need to Control others
Creative,Coercive,Anti-state,No fear of punishment
Creative,Impatient,Rationalization,Intolerance
Sharp (intelligent),Impatient,Low self-worth,Political support
Focussed,Control freak,Radical,"Greed (easy, quick money)"
Focussed,Determined,Low self-worth,Intolerance
Resourceful,Conviction in Violence,Need to outsmart others,Disregard for law
Well-networked,Determined,Inferiority complex,Emotions
Skilful,Impatient,Marginalised,Political beliefs
Well-networked,Impatient,Social dissatisfaction,Disregard for law
Resourceful,"Psychologically
Deviant",Low self-worth,Anger
Well-organized,Impatient,Need to outsmart others,"Concealed
existence"
Opportunists,Loner,Need to outsmart others,Curiosity
Strategic planners,Loner,Anti-state,Need to Control others
Resourceful,Passionate,Marginalised,Curiosity
Strategic planners,Vengeful,Unlawful,Curiosity
Creative,Psychiatric conditions,Anti-establishment,Need to Control others
Sharp (intelligent),Conviction in Violence,Anti-state,Manipulate others
Smart,Control freak,Need to outsmart others,No fear of punishment
Strategic planners,Secretive,Rebellious,Political beliefs
Well-organized,Immoral/ Unethical,Socially inept,Lust
Smart,Inhuman Psyche,Low self-worth,Intolerance
Opportunists,Coward,Radical,Plain boredom
Strategic planners,Insensitive,"Insufficient social
support",Disregard for law
Goal oriented,Control freak,Marginalised,Revenge
Well-organized,Strong-willed,Anti-social,Intolerance
Resourceful,Immoral/ Unethical,Broken homes/families,"Religious
fundamentalism"
Resourceful,Coercive,Anti-establishment,Manipulate others
Skilful,Immoral/ Unethical,Low self-worth,Monetary Gain
Bully,Risk-taker,Broken homes/families,Political support
Focussed,Insensitive,Mass-destruction,Intolerance
Creative,Control freak,Reinforcement available,Political beliefs
Resourceful,Coercive,Social dissatisfaction,Manipulate others
Strategic planners,Incited,Lack Social skills,Disregard for law
Goal oriented,Coercive,Brain-washed,Manipulate others
Goal oriented,Aggressive,Broken homes/families,No fear of punishment
Resourceful,Selfish,Lack Social skills,Curiosity
Well-networked,Loner,Lack Social skills,Plain boredom
Bully,Risk-taker,Anti-establishment,Plain boredom
Focussed,Impatient,Socially inept,Curiosity
Resourceful,Incited,Intolerance to diversity of opinion,"Greed (easy, quick money)"
Well-organized,Impatient,Intolerance to diversity of opinion,Risk tolerance
Strategic planners,Strong-willed,Lack Social skills,"Concealed
existence"
Opportunists,Vengeful,Radical,Anger
Creative,Psychiatric conditions,Inferiority complex,Anger
Creative,Control freak,Rationalization,"Greed (easy, quick money)"
Well-organized,Insensitive,Socially inept,Monetary Gain
Well-trained,Insensitive,Inferiority complex,Revenge
Well-organized,Identity crisis,Marginalised,Intolerance
Bully,Insensitive,Intolerance to diversity of opinion,No fear of punishment
Opportunists,Secretive,Radical,Monetary Gain
Skilful,Coercive,Rationalization,Plain boredom
Well-organized,Emotional,Low self-worth,Revenge
Well trained,Passionate,Unlawful,"Concealed
existence"
Creative,Selfish,Brain-washed,Need to Control others
Skilful,"Psychologically
Deviant",Brain-washed,Anger
Well-networked,Aggressive,Intolerance to diversity of opinion,Disregard for law
Well trained,Incited,"Insufficient social
support",Experimentation
Strategic planners,"Psychologically
Deviant",Intolerance to diversity of opinion,Risk tolerance
Goal oriented,"Psychologically
Deviant",Misguided,"Concealed
existence"
Well-networked,Chaotic state of mind,Socially inept,Plain boredom
Sharp (intelligent),Determined,Radical,Political support
Well-trained,Coercive,Need to outsmart others,Anger
Well-trained,Determined,Intolerance to diversity of opinion,Anger
Focussed,Selfish,Reinforcement available,"Greed (easy, quick money)"
Opportunists,Emotional,Rebellious,Thrill-seeking
Resourceful,Insensitive,Misguided,Experimentation
Focussed,Immoral/ Unethical,Mass-destruction,Thrill-seeking
Creative,Insensitive,Need to outsmart others,Revenge
Well trained,Strong-willed,Anti-state,Thrill-seeking
Well trained,Impatient,Rationalization,Revenge
Well-networked,Psychiatric conditions,Brain-washed,"Religious
fundamentalism"
Opportunists,Passionate,Brain-washed,Manipulate others
Focussed,Chaotic state of mind,Broken homes/families,Political beliefs
Smart,Coward,Reinforcement available,"Concealed
existence"
Strategic planners,Coercive,Rebellious,"Concealed
existence"
Well trained,Conviction in Violence,"Insufficient social
support",Revenge
Focussed,Impatient,Mass-destruction,Curiosity
Creative,Vengeful,Mass-destruction,Disregard for law
Smart,Risk-taker,Low self-worth,"Enhancing self-
worth"
Skilful,Immoral/ Unethical,Need to outsmart others,Risk tolerance
Well-organized,Immoral/ Unethical,Socially inept,Experimentation
Skilful,Emotional,Social dissatisfaction,Political support
Opportunists,Conviction in Violence,Broken homes/families,"Enhancing self-
worth"
Resourceful,Conviction in Violence,Social dissatisfaction,Intolerance
Resourceful,Gullible,Mass-destruction,Need to Control others
Sharp (intelligent),Immoral/ Unethical,Brain-washed,"Religious
fundamentalism"
Smart,Incited,Rebellious,Political support
Smart,Immoral/ Unethical,Mass-destruction,Experimentation
Creative,Control freak,Mass-destruction,Manipulate others
Resourceful,Insensitive,Brain-washed,Anger
Strategic planners,Aggressive,Anti-establishment,Lust
Well-organized,Selfish,"Insufficient social
support",Curiosity
Goal oriented,Control freak,Low self-worth,Thrill-seeking
Opportunists,Coward,"Insufficient social
support","Enhancing self-
worth"
Smart,Control freak,Brain-washed,Plain boredom
Creative,Psychiatric conditions,Anti-establishment,No fear of punishment
Creative,Incited,Rationalization,Emotions
Creative,Incited,"Insufficient social
support",Curiosity
Smart,Secretive,Rationalization,"Concealed
existence"
Bully,Loner,Inferiority complex,Anger
Smart,Coward,"Insufficient social
support",Political beliefs
Opportunists,Impatient,Rebellious,Manipulate others
Bully,"Psychologically
Deviant",Marginalised,"Religious
fundamentalism"
Well-networked,Immoral/ Unethical,"Insufficient social
support",Experimentation
Skilful,Chaotic state of mind,Radical,Curiosity
Goal oriented,Insensitive,Lack Social skills,Emotions
Bully,Control freak,Need to outsmart others,"Enhancing self-
worth"
Strategic planners,Incited,Anti-social,Need to Control others
Goal oriented,Emotional,Socially inept,"Concealed
existence"
Well trained,Impatient,Reinforcement available,Thrill-seeking
Well-trained,Immoral/ Unethical,"Insufficient social
support","Enhancing self-
worth"
Well trained,Coward,Low self-worth,Revenge
Resourceful,"Psychologically
Deviant",Social dissatisfaction,Disregard for law
Goal oriented,Passionate,Low self-worth,No fear of punishment
Well-trained,Impatient,Social dissatisfaction,No fear of punishment
Well-networked,Passionate,Socially inept,Anger
Goal oriented,Incited,Rebellious,Revenge
Smart,Conviction in Violence,Radical,Political support
Goal oriented,Control freak,Inferiority complex,Intolerance
Resourceful,Secretive,Marginalised,Plain boredom
Well-organized,Impatient,Social dissatisfaction,"Greed (easy, quick money)"
Goal oriented,Determined,Need to outsmart others,Disregard for law
Smart,Impatient,Anti-establishment,Need to Control others
Well trained,Insensitive,Intolerance to diversity of opinion,Need to Control others
Goal oriented,Risk-taker,Unlawful,Need to Control others
Sharp (intelligent),Loner,Rationalization,Thrill-seeking
Smart,Secretive,Inferiority complex,Political support
Well trained,Inhuman Psyche,Need to outsmart others,Curiosity
Well-networked,Secretive,Mass-destruction,Political beliefs
Well-trained,Identity crisis,Need to outsmart others,Lust
Well-networked,Immoral/ Unethical,"Insufficient social
support",Manipulate others
Well-networked,Identity crisis,Low self-worth,Experimentation
Goal oriented,Inhuman Psyche,Anti-establishment,Lust
Bully,Insensitive,Unlawful,Experimentation
Focussed,Aggressive,Inferiority complex,"Religious
fundamentalism"
Focussed,Emotional,Inferiority complex,Emotions
Well-organized,Coercive,Low self-worth,Curiosity
Bully,Emotional,Reinforcement available,Political beliefs
Well trained,Inhuman Psyche,Misguided,Experimentation
Creative,Incited,Broken homes/families,Revenge
Well trained,Identity crisis,Misguided,Curiosity
Creative,Identity crisis,Brain-washed,Emotions
Resourceful,Inhuman Psyche,Socially inept,Revenge
Well-networked,Insensitive,"Insufficient social
support",Monetary Gain
Goal oriented,Selfish,Reinforcement available,Anger
Opportunists,Inhuman Psyche,Unlawful,Thrill-seeking
Strategic planners,Determined,Anti-establishment,Experimentation
Creative,Psychiatric conditions,Radical,No fear of punishment
Focussed,Secretive,Brain-washed,Monetary Gain
Well-organized,Conviction in Violence,Inferiority complex,"Religious
fundamentalism"
Skilful,Passionate,Lack Social skills,Monetary Gain
Well trained,Aggressive,Need to outsmart others,Revenge
Well-networked,Incited,Socially inept,"Concealed
existence"
Strategic planners,"Psychologically
Deviant",Anti-state,"Enhancing self-
worth"
Well trained,Inhuman Psyche,Marginalised,Lust
Well trained,Conviction in Violence,Inferiority complex,Curiosity
Well trained,Emotional,Unlawful,"Concealed
existence"
Creative,Conviction in Violence,Misguided,Plain boredom
Smart,Coward,Unlawful,Monetary Gain
Skilful,Determined,Rebellious,Anger
Well-networked,Aggressive,Rebellious,Intolerance
Bully,Control freak,Broken homes/families,"Concealed
existence"
Well-organized,Insensitive,Social dissatisfaction,Plain boredom
Creative,Conviction in Violence,Low self-worth,Need to Control others
Focussed,Chaotic state of mind,Radical,Need to Control others
Opportunists,Conviction in Violence,Unlawful,Lust
Bully,Passionate,Anti-social,Monetary Gain
Focussed,Gullible,"Insufficient social
support",Manipulate others
Focussed,Secretive,Rationalization,Political beliefs
Focussed,Psychiatric conditions,Anti-social,Anger
Creative,Coercive,Low self-worth,"Religious
fundamentalism"
Opportunists,Selfish,Social dissatisfaction,Revenge
Smart,Conviction in Violence,Social dissatisfaction,Political support
Smart,Selfish,Need to outsmart others,Political support
Bully,Loner,Unlawful,Experimentation
Well-trained,Incited,Rationalization,Plain boredom
Smart,Strong-willed,Social dissatisfaction,Curiosity
Opportunists,Immoral/ Unethical,Social dissatisfaction,Plain boredom
Creative,Selfish,Anti-social,Risk tolerance
Creative,Coercive,Social dissatisfaction,Political support
Bully,Immoral/ Unethical,Need to outsmart others,Need to Control others
Resourceful,Impatient,Lack Social skills,Political beliefs
Opportunists,Risk-taker,Anti-state,Curiosity
Opportunists,Coercive,Anti-social,Curiosity
Focussed,Loner,Misguided,Disregard for law
Well trained,Risk-taker,Radical,"Greed (easy, quick money)"
Well trained,Inhuman Psyche,Anti-establishment,Plain boredom
Goal oriented,Identity crisis,Rebellious,Curiosity
Strategic planners,Loner,Rationalization,Risk tolerance
Well-trained,Impatient,Socially inept,Plain boredom
Creative,Identity crisis,Anti-social,Curiosity
Focussed,Impatient,Unlawful,Revenge
Well-networked,Coward,Intolerance to diversity of opinion,Lust
Goal oriented,Passionate,Unlawful,Plain boredom
Smart,Coercive,Intolerance to diversity of opinion,Monetary Gain
Resourceful,Inhuman Psyche,Anti-establishment,Monetary Gain
Resourceful,Chaotic state of mind,Rationalization,Monetary Gain
Well-trained,Gullible,Marginalised,Anger
Skilful,Selfish,Rebellious,"Greed (easy, quick money)"
Well-trained,Psychiatric conditions,Rationalization,Risk tolerance
Bully,Control freak,Socially inept,Curiosity
Strategic planners,Inhuman Psyche,Need to outsmart others,Disregard for law
Well trained,Insensitive,Anti-state,Monetary Gain
Skilful,Conviction in Violence,Brain-washed,Need to Control others
Opportunists,Identity crisis,Unlawful,Manipulate others
Sharp (intelligent),Impatient,Misguided,Risk tolerance
Well trained,Risk-taker,Unlawful,Emotions
Well-organized,"Psychologically
Deviant",Lack Social skills,Thrill-seeking
Well trained,Coward,Reinforcement available,Intolerance
Strategic planners,Insensitive,Anti-social,"Enhancing self-
worth"
Well trained,Conviction in Violence,Inferiority complex,Need to Control others
Focussed,Determined,Rationalization,"Greed (easy, quick money)"
Well-networked,Emotional,Intolerance to diversity of opinion,Emotions
Goal oriented,Coward,Low self-worth,Lust
Bully,Vengeful,Reinforcement available,Disregard for law
Well trained,Determined,Mass-destruction,No fear of punishment
Focussed,Passionate,Marginalised,Revenge
Smart,Loner,Brain-washed,Lust
Well-organized,Aggressive,Marginalised,Manipulate others
Opportunists,Emotional,Radical,Manipulate others
Resourceful,Selfish,Brain-washed,No fear of punishment
Well trained,Aggressive,"Insufficient social
support","Enhancing self-
worth"
Sharp (intelligent),Gullible,Anti-state,Lust
Well trained,Risk-taker,Unlawful,Experimentation
Creative,Coward,Inferiority complex,Disregard for law
Bully,Aggressive,Socially inept,Thrill-seeking
Opportunists,Chaotic state of mind,Radical,No fear of punishment
Goal oriented,Incited,Misguided,Revenge
Skilful,Loner,Misguided,"Concealed
existence"
Sharp (intelligent),Loner,Brain-washed,Need to Control others
Sharp (intelligent),Impatient,Anti-social,Disregard for law
Focussed,Selfish,Low self-worth,"Concealed
existence"
Skilful,Strong-willed,Low self-worth,Risk tolerance
Smart,Risk-taker,Anti-social,Anger
Creative,Determined,Anti-state,"Enhancing self-
worth"
Well-trained,Impatient,Broken homes/families,Risk tolerance
Strategic planners,Aggressive,Low self-worth,"Enhancing self-
worth"
Creative,Risk-taker,Rationalization,Need to Control others
Skilful,Incited,Anti-establishment,Experimentation
Smart,Immoral/ Unethical,Rebellious,"Concealed
existence"
Well-networked,Emotional,Anti-state,Political beliefs
Bully,Coercive,Rebellious,"Concealed
existence"
Sharp (intelligent),Control freak,"Insufficient social
support",Disregard for law
Creative,Conviction in Violence,Marginalised,Political support
Skilful,Coercive,Reinforcement available,Revenge
Skilful,Risk-taker,Unlawful,Emotions
Smart,Psychiatric conditions,Unlawful,Emotions
Well-trained,Chaotic state of mind,Marginalised,Revenge
Opportunists,Identity crisis,Social dissatisfaction,Risk tolerance
Well-networked,Psychiatric conditions,Marginalised,No fear of punishment
